system,n_feedback,seed,hit_at_5,mrr_score,ndcg_at_10
itma,0,0,0.7913043478260869,0.5159972394755004,0.610142187003623
itma,5,0,0.8173913043478261,0.5369634230503796,0.6283670330791051
itma,10,0,0.808695652173913,0.5447895100069013,0.6322272916660653
itma,20,0,0.8173913043478261,0.5562387853692201,0.642973537901805
itma,30,0,0.8173913043478261,0.6182194616977226,0.6893185772294343
itma,50,0,0.8695652173913043,0.6640786749482401,0.7275362301294397
itma,0,1,0.7913043478260869,0.5159972394755004,0.610142187003623
itma,5,1,0.808695652173913,0.523015873015873,0.6156029595676802
itma,10,1,0.808695652173913,0.5602518978605935,0.6439205813863964
itma,20,1,0.8347826086956521,0.5838026224982747,0.6618675138013559
itma,30,1,0.8521739130434782,0.6273636991028295,0.6968519140354025
itma,50,1,0.8782608695652174,0.665952380952381,0.7272127060720289
itma,0,2,0.7913043478260869,0.5159972394755004,0.610142187003623
itma,5,2,0.782608695652174,0.5014113181504486,0.5995854869041635
itma,10,2,0.782608695652174,0.5049965493443754,0.601748830259328
itma,20,2,0.8,0.5344168391994479,0.6268717497090602
itma,30,2,0.8521739130434782,0.5851794340924776,0.6679755097349949
itma,50,2,0.8608695652173913,0.6631366459627329,0.7250764850371507
itma,0,3,0.7913043478260869,0.5159972394755004,0.610142187003623
itma,5,3,0.7913043478260869,0.49312284334023465,0.590683365971011
itma,10,3,0.7739130434782608,0.5037025534851621,0.598464974744125
itma,20,3,0.7652173913043478,0.4892684610075914,0.5874317636201083
itma,30,3,0.782608695652174,0.5580227743271222,0.6392873980951084
itma,50,3,0.8347826086956521,0.6278571428571428,0.6955202019554801
itma,0,4,0.7913043478260869,0.5159972394755004,0.610142187003623
itma,5,4,0.7652173913043478,0.5186059351276743,0.6115836380478443
itma,10,4,0.7913043478260869,0.5415769496204279,0.6294709917051865
itma,20,4,0.8,0.5604175293305729,0.6436977367713624
itma,30,4,0.808695652173913,0.607591442374051,0.6809073822559942
itma,50,4,0.8695652173913043,0.6881884057971014,0.747587623593213
