system,n_feedback,seed,hit_at_5,mrr_score,ndcg_at_10
itma,0,0,0.8314606741573034,0.6594569288389514,0.701711530048786
itma,5,0,0.8089887640449438,0.5673533083645443,0.6343039655256457
itma,10,0,0.8314606741573034,0.5990012484394507,0.6604251368711292
itma,20,0,0.8314606741573034,0.5834403424291065,0.6542490158256224
itma,30,0,0.8089887640449438,0.6027287319422151,0.6679167183816627
itma,50,0,0.8539325842696629,0.6096575708935259,0.6773182314285359
itma,0,1,0.8314606741573034,0.6594569288389514,0.701711530048786
itma,5,1,0.8426966292134831,0.6529650436953808,0.6987581374001515
itma,10,1,0.8314606741573034,0.5574415908685572,0.6339669751122996
itma,20,1,0.8202247191011236,0.5735598359193865,0.6467494638269299
itma,30,1,0.8314606741573034,0.59386481184234,0.6620208154021675
itma,50,1,0.8876404494382022,0.635892634207241,0.7041692710695152
itma,0,2,0.8314606741573034,0.6594569288389514,0.701711530048786
itma,5,2,0.8314606741573034,0.5920724094881398,0.6564579812858359
itma,10,2,0.8426966292134831,0.5660424469413233,0.6415947998629988
itma,20,2,0.8539325842696629,0.5873729266987694,0.6655429591136797
itma,30,2,0.8426966292134831,0.5599830568931692,0.6443690613495922
itma,50,2,0.8426966292134831,0.5960584983056894,0.6708554941199175
itma,0,3,0.8314606741573034,0.6594569288389514,0.701711530048786
itma,5,3,0.8202247191011236,0.568789013732834,0.6365131210419956
itma,10,3,0.8202247191011236,0.5520733012306046,0.6245744082794296
itma,20,3,0.8314606741573034,0.5424291064740503,0.620563899693715
itma,30,3,0.8089887640449438,0.5528491171749599,0.6268121529894707
itma,50,3,0.898876404494382,0.6326779026217229,0.7048149245072024
itma,0,4,0.8314606741573034,0.6594569288389514,0.701711530048786
itma,5,4,0.8202247191011236,0.571780809702158,0.6366083285195885
itma,10,4,0.8426966292134831,0.6105716069199215,0.67157462081328
itma,20,4,0.8426966292134831,0.5839352594970573,0.6570819709793646
itma,30,4,0.8426966292134831,0.6020866773675763,0.6720558713520356
itma,50,4,0.8651685393258427,0.6059434635277332,0.6860392807569393
