lam,eta,seed,hit_at_5,mrr_score,ndcg_at_10
0.01,0.01,0,0.8539325842696629,0.6846843231674693,0.7360623413369449
0.01,0.01,1,0.8426966292134831,0.702394328517924,0.7549546924630689
0.01,0.01,2,0.8539325842696629,0.66699215266631,0.7269549622274438
0.01,0.05,0,0.8651685393258427,0.6841225254146602,0.735150169476156
0.01,0.05,1,0.8426966292134831,0.702394328517924,0.7549546924630689
0.01,0.05,2,0.8539325842696629,0.6726101301943999,0.731101818928888
0.01,0.2,0,0.8651685393258427,0.6678482254324951,0.7228929246025743
0.01,0.2,1,0.8426966292134831,0.700521669341894,0.7540526788579923
0.01,0.2,2,0.8426966292134831,0.6663500980916711,0.7277580389262126
0.05,0.01,0,0.8764044943820225,0.6058186195826646,0.6790491209522661
0.05,0.01,1,0.8764044943820225,0.6262439807383627,0.6991647998824185
0.05,0.01,2,0.8539325842696629,0.5858435883716783,0.6658783931997412
0.05,0.05,0,0.8764044943820225,0.6095639379347244,0.6816894478886663
0.05,0.05,1,0.8764044943820225,0.6281166399143927,0.7006359207090641
0.05,0.05,2,0.8539325842696629,0.5970795434278581,0.6718656738954001
0.05,0.2,0,0.8764044943820225,0.6186597110754414,0.688991197727753
0.05,0.2,1,0.8764044943820225,0.6430979133226324,0.7113027685436749
0.05,0.2,2,0.8539325842696629,0.6020108792580703,0.6756537799082089
0.2,0.01,0,0.898876404494382,0.525936329588015,0.6142734192938877
0.2,0.01,1,0.8426966292134831,0.5544854645978241,0.6440019700692285
0.2,0.01,2,0.8651685393258427,0.4854556803995006,0.5862168383791516
0.2,0.05,0,0.898876404494382,0.525936329588015,0.6142734192938877
0.2,0.05,1,0.8426966292134831,0.5544854645978241,0.6440019700692285
0.2,0.05,2,0.8651685393258427,0.4910736579275905,0.5887594719244429
0.2,0.2,0,0.898876404494382,0.5296816479400749,0.6169491551686864
0.2,0.2,1,0.8426966292134831,0.5544854645978241,0.6440019700692285
0.2,0.2,2,0.8651685393258427,0.4985642946317103,0.5943774494525327
